College,City,Sub District,Latitude,Longitude
SEKOLAH TINGGI TEKNIK LINGKUNGAN,BANTUL,BANGUNTAPAN,-7.79954485,110.4019877
STMIK AKAKOM,BANTUL,BANGUNTAPAN,-7.79345855,110.4071976
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,BANTUL,KASIHAN,-7.8094068,110.3226184
UNIVERSITAS PGRI YOGYAKARTA,BANTUL,KASIHAN,-7.80578675,110.3414022
UNIVERSITAS TEKNOLOGI YOGYAKARTA,SLEMAN,MLATI,-7.80471665,110.3909916
AKADEMI KOMUNIKASI YOGYAKARTA,SLEMAN,DEPOK,-7.81434155,110.3757164
INSTITUT PERTANIAN STIPER,SLEMAN,DEPOK,-7.76099995,110.425078
POLITEKNIK API,SLEMAN,DEPOK,-7.77596505,110.4181257
SEKOLAH TINGGI PARIWISATA AMPTA YOGYAKARTA,SLEMAN,DEPOK,-7.77841595,110.4035228
UNIVERSITAS ATMA JAYA YOGYAKARTA,SLEMAN,DEPOK,-7.77629435,110.3926419
UNIVERSITAS GADJAH MADA,SLEMAN,DEPOK,-7.7677059,110.3785302
UNIVERSITAS NEGERI YOGYAKARTA,SLEMAN,DEPOK,-7.7744603,110.3834948
UPN VETERAN YOGYAKARTA,SLEMAN,DEPOK,-7.76281215,110.409439
UNIVERSITAS PROKLAMASI 45,SLEMAN,DEPOK,-7.77425485,110.4180316
UNIVERSITAS SANATA DHARMA,SLEMAN,DEPOK,-7.7610454,110.3976708
AKADEMI PERIKANAN YOGYAKARTA,YOGYAKARTA,UMBULHARJO,-7.7952816,110.3955315
UNIVERSITAS AHMAD DAHLAN,YOGYAKARTA,UMBULHARJO,-7.7986611,110.3829966
UNIVERSITAS COKROAMINOTO,YOGYAKARTA,UMBULHARJO,-7.8195408,110.3928655
UNIVERSITAS SARJANAWIYATA TAMANSISWA,YOGYAKARTA,UMBULHARJO,-7.80155385,110.3885679
