,Urban,Sub District,City,Latitude,Longitude
1,AMBARKETAWANG,GAMPING,SLEMAN,-7.8014489,110.3218737
2,NGESTIHARJO,KASIHAN,BANTUL,-7.8101699,110.3419994
3,JAGALAN,BANGUNTAPAN,BANTUL,-7.8336024,110.3960567
4,SINGOSAREN,BANGUNTAPAN,BANTUL,-7.8383496,110.3993501
5,BANGUNTAPAN,BANGUNTAPAN,BANTUL,-7.8052773,110.4040914
6,BATURETNO,BANGUNTAPAN,BANTUL,-7.8147897,110.4142481
7,POTORONO,BANGUNTAPAN,BANTUL,-7.8360494,110.4161923
8,SIDOMOYO,GODEAN,SLEMAN,-7.7563087,110.3263275
9,SIDOARUM,GODEAN,SLEMAN,-7.7743736,110.3274944
10,BANYURADEN,GAMPING,SLEMAN,-7.79162,110.3388925
11,NOGOTIRTO,GAMPING,SLEMAN,-7.781527,110.3426946
12,TRIHANGGO,GAMPING,SLEMAN,-7.7571187,110.3517176
13,SINDUADI,MLATI,SLEMAN,-7.7582322,110.3727371
14,CONDONG CATUR,DEPOK,SLEMAN,-7.7557535,110.4035517
15,CATUR TUNGGAL,DEPOK,SLEMAN,-7.7794137,110.4050793
16,MAGUWOHARJO,DEPOK,SLEMAN,-7.7686938,110.4327364
17,SENDANG TIRTO,BERBAH,SLEMAN,-7.8151574,110.4332116
18,PATANGPULUHAN,WIROBRAJAN,YOGYAKARTA,-7.80111,110.35194
19,WIROBRAJAN,WIROBRAJAN,YOGYAKARTA,-7.80111,110.35194
20,TEGALREJO,TEGALREJO,YOGYAKARTA,-7.7883975,110.3541008
21,PAKUNCEN,WIROBRAJAN,YOGYAKARTA,-7.7963718,110.3546178
22,BENER,TEGALREJO,YOGYAKARTA,-7.778493,110.3552871
23,GEDONGKIWO,MANTRIJERON,YOGYAKARTA,-7.8169426,110.3553323
24,NGAMPILAN,NGAMPILAN,YOGYAKARTA,-7.79917,110.35639
25,NOTOPRAJAN,NGAMPILAN,YOGYAKARTA,-7.79917,110.35639
26,SURYODININGRATAN,MANTRIJERON,YOGYAKARTA,-7.8198293,110.3592467
27,PATEHAN,KRATON,YOGYAKARTA,-7.8124302,110.3599225
28,KADIPATEN,KRATON,YOGYAKARTA,-7.8063238,110.3601174
29,KRICAK,TEGALREJO,YOGYAKARTA,-7.7739565,110.3602514
30,BACIRO,GONDOKUSUMAN,YOGYAKARTA,-7.78278,110.36083
31,BAUSASRAN,DANUREJAN,YOGYAKARTA,-7.78278,110.36083
32,DEMANGAN,GONDOKUSUMAN,YOGYAKARTA,-7.78278,110.36083
33,GUNUNG KETUR,PAKUALAMAN,YOGYAKARTA,-7.78278,110.36083
34,KLITREN,GONDOKUSUMAN,YOGYAKARTA,-7.78278,110.36083
35,KOTABARU,GONDOKUSUMAN,YOGYAKARTA,-7.78278,110.36083
36,MUJA MUJU,UMBULHARJO,YOGYAKARTA,-7.78278,110.36083
37,NGUPASAN,GONDOMANAN,YOGYAKARTA,-7.78278,110.36083
38,PRINGGOKUSUMAN,GEDONG TENGEN,YOGYAKARTA,-7.78278,110.36083
39,PURWO KINANTI,PAKUALAMAN,YOGYAKARTA,-7.78278,110.36083
40,SEMAKI,UMBULHARJO,YOGYAKARTA,-7.78278,110.36083
41,SOSROMENDURAN,GEDONG TENGEN,YOGYAKARTA,-7.78278,110.36083
42,SURYATMAJAN,DANUREJAN,YOGYAKARTA,-7.78278,110.36083
43,TAHUNAN,UMBULHARJO,YOGYAKARTA,-7.78278,110.36083
44,TEGAL PANGGUNG,DANUREJAN,YOGYAKARTA,-7.78278,110.36083
45,TERBAN,GONDOKUSUMAN,YOGYAKARTA,-7.78278,110.36083
46,WARUNGBOTO,UMBULHARJO,YOGYAKARTA,-7.78278,110.36083
47,BUMIJO,JETIS,YOGYAKARTA,-7.7868405,110.361488
48,MANTRIJERON,MANTRIJERON,YOGYAKARTA,-7.8210273,110.3643223
49,PANEMBAHAN,KRATON,YOGYAKARTA,-7.8080614,110.3667679
50,KARANGWARU,TEGALREJO,YOGYAKARTA,-7.7753198,110.3667821
51,PRAWIRODIRJAN,GONDOMANAN,YOGYAKARTA,-7.8040375,110.3697253
52,COKRODININGRATAN,JETIS,YOGYAKARTA,-7.7799511,110.3699723
53,BRONTOKUSUMAN,MERGANGSAN,YOGYAKARTA,-7.8196699,110.3710859
54,KEPARAKAN,MERGANGSAN,YOGYAKARTA,-7.8100421,110.3719199
55,WIROGUNAN,MERGANGSAN,YOGYAKARTA,-7.8076537,110.3764022
56,SOROSUTAN,UMBULHARJO,YOGYAKARTA,-7.8237168,110.3781469
57,GOWONGAN,JETIS,YOGYAKARTA,-7.81639,110.38167
58,PANDEYAN,UMBULHARJO,YOGYAKARTA,-7.815981,110.3854479
59,GIWANGAN,UMBULHARJO,YOGYAKARTA,-7.8296189,110.387041
60,REJOWINANGUN,KOTAGEDE,YOGYAKARTA,-7.8122439,110.3951486
61,PRENGGAN,KOTAGEDE,YOGYAKARTA,-7.8261473,110.3974035
62,PURBAYAN,KOTAGEDE,YOGYAKARTA,-7.8296433,110.4033716
